Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,3,False,71381.55094407804,0.022894736842105266
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,4,False,68286.08774620655,0.030263157894736846
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,5,False,69923.66983061667,0.06605263157894738
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,6,False,73808.37713135338,0.04684210526315789
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,7,False,78378.73120689172,0.03921052631578947
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,8,False,71140.09911865887,0.0605263157894737
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,9,False,66633.43611347987,0.028947368421052628
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,10,False,74253.24418797862,0.03026315789473685
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,11,False,71140.09911865887,0.04710526315789474
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,12,False,71411.4340147803,0.04236842105263158
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,13,False,67552.68156416502,0.06631578947368422
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,14,False,66633.43611347987,0.03368421052631579
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,15,False,79756.28412415888,0.02526315789473684
